city,ja,population,place,dist_km,segment,km_along,seg_from,seg_to,lat,lon
Nagahama,長浜市,115712,city,17.7,tsuruga--otsu,23.7,tsuruga,otsu,35.3809,136.2785
Beppu,別府市,115321,city,0.7,beppu--usuki,1.2,beppu,usuki,33.2846,131.4913
Kakegawa,掛川市,114602,city,11.6,shizuoka--hamamatsu#pacific,78.2,shizuoka,hamamatsu,34.7688,137.9986
Hatsukaichi,廿日市市,114173,city,0.3,hiroshima--iwakuni,14.3,hiroshima,iwakuni,34.3485,132.3318
Hofu,防府市,113979,city,0.1,hofu--shimonoseki,0.5,hofu,shimonoseki,34.0517,131.5629
Hikone,彦根市,113468,city,17.6,tsuruga--otsu,54.4,tsuruga,otsu,35.2744,136.2597
Tokai,東海市,113015,city,7.4,toyohashi--nagoya#pacific,60.4,toyohashi,nagoya,35.0229,136.9024
Sanda,三田市,112691,city,18.6,osaka--kobe,19.5,osaka,kobe,34.8899,135.2252
Tondabayashi,富田林市,112035,city,14.5,wakayama--osaka#pacific,59.4,wakayama,osaka,34.4998,135.5973
Ichinoseki,一関市,111932,city,16.5,kesennuma--sendai#pacific,38.5,kesennuma,sendai,38.9347,141.1266
Otaru,小樽市,111299,city,1.0,otaru--suttsu#coast,0.0,otaru,suttsu,43.1907,140.9946
Habikino,羽曳野市,111221,city,11.8,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5582,135.6062
Hakusan,白山市,110408,city,4.1,kanazawa--tojinbo,12.9,kanazawa,tojinbo,36.5144,136.5658
Kamagaya,鎌ケ谷市,109932,city,9.9,tsukuba--tokyo#pacific,50.6,tsukuba,tokyo,35.7766,140.0007
Mishima,三島市,107783,city,2.0,odawara--numazu#pacific,42.4,odawara,numazu,35.1185,138.9184
Komatsu,小松市,106919,city,3.1,kanazawa--tojinbo,30.2,kanazawa,tojinbo,36.4033,136.4495
Saijo,西条市,104791,city,23.0,onomichi--imabari,57.6,onomichi,imabari,33.9194,133.1813
Kawachinagano,河内長野市,104713,city,14.1,wakayama--osaka#pacific,51.5,wakayama,osaka,34.4576,135.5643
Toride,取手市,104524,city,3.0,tsukuba--tokyo#pacific,23.4,tsukuba,tokyo,35.9112,140.05
Ikeda,池田市,103993,city,10.9,osaka--kobe,11.4,osaka,kobe,34.8217,135.4284
Mihara,三原市,103162,city,0.1,onomichi--kure#mainland,12.2,onomichi,kure,34.3974,133.0785
Isehara,伊勢原市,101514,city,10.0,kamakura--odawara#pacific,22.0,kamakura,odawara,35.4031,139.315
Shibata,新発田市,101202,city,3.3,murakami--niigata,33.5,murakami,niigata,37.9479,139.3272
Kanoya,鹿屋市,101096,city,0.1,kanoya--nejime,0.0,kanoya,nejime,31.378,130.8525
Izumisano,泉佐野市,100567,city,2.0,wakayama--osaka#pacific,34.1,wakayama,osaka,34.3946,135.3227
Sakata,酒田市,100273,city,6.9,sakata--tsuruoka,1.5,sakata,tsuruoka,38.9147,139.8364
Konan,江南市,98359,city,19.6,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.3445,136.8667
Inzai,印西市,96640,city,14.7,tsukuba--tokyo#pacific,27.8,tsukuba,tokyo,35.8323,140.1453
Shimada,島田市,96478,city,8.1,shizuoka--hamamatsu#pacific,34.7,shizuoka,hamamatsu,34.8361,138.1769
Ashiya,芦屋市,94930,city,0.8,osaka--kobe,20.0,osaka,kobe,34.7274,135.304
Azumino,安曇野市,94871,city,2.4,nagano--matsumoto#highland,67.6,nagano,matsumoto,36.3044,137.9055
Sanjo,三条市,94642,city,2.1,niigata--nagaoka#highland,35.2,niigata,nagaoka,37.6361,138.9614
Inagi,稲城市,93151,city,19.4,tokyo--kamakura#pacific,11.3,tokyo,kamakura,35.638,139.5047
Kashiwazaki,柏崎市,92947,city,0.1,kashiwazaki--itoigawa,0.0,kashiwazaki,itoigawa,37.3719,138.5591
Obu,大府市,92902,city,5.5,toyohashi--nagoya#pacific,56.0,toyohashi,nagoya,35.0166,136.9545
Imizu,射水市,92888,city,5.9,uozu--himi,33.6,uozu,himi,36.7305,137.0754
Sakai,坂井市,90280,city,3.7,tojinbo--fukui,10.4,tojinbo,fukui,36.1677,136.2263
Nisshin,日進市,90062,city,9.3,toyohashi--nagoya#pacific,57.1,toyohashi,nagoya,35.1319,137.0393
Yashio,八潮市,90017,city,4.3,tsukuba--tokyo#pacific,45.2,tsukuba,tokyo,35.8226,139.8387
Takasago,高砂市,89728,city,0.6,kobe--himeji,42.9,kobe,himeji,34.7661,134.7907
Yamatokōriyama,大和郡山市,89609,city,21.5,otsu--osaka,37.1,otsu,osaka,34.6496,135.7829
Kaizuka,貝塚市,87493,city,0.8,wakayama--osaka#pacific,39.0,wakayama,osaka,34.4375,135.3582
Ama,あま市,87350,city,4.0,nagoya--ise#pacific,7.7,nagoya,ise,35.1914,136.7935
Gotemba,御殿場市,86614,city,20.4,odawara--numazu#pacific,1.9,odawara,numazu,35.3088,138.9349
Fukuroi,袋井市,86532,city,8.3,shizuoka--hamamatsu#pacific,86.2,shizuoka,hamamatsu,34.7501,137.9247
Kameoka,亀岡市,86174,city,17.6,otsu--osaka,23.7,otsu,osaka,35.0134,135.5734
Kitanagoya,北名古屋市,85369,city,8.7,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.2457,136.8664
Echizen,越前市,84936,city,0.5,fukui--tsuruga,18.6,fukui,tsuruga,35.9038,136.1693
Settsu,摂津市,84727,city,2.7,otsu--osaka,41.5,otsu,osaka,34.7773,135.5617
Chita,知多市,84428,city,14.3,toyohashi--nagoya#pacific,60.2,toyohashi,nagoya,34.9701,136.8607
Ushiku,牛久市,84317,city,8.2,tsukuba--tokyo#pacific,14.2,tsukuba,tokyo,35.9791,140.1496
Ayase,綾瀬市,83913,city,13.1,kamakura--odawara#pacific,12.5,kamakura,odawara,35.4373,139.4268
Nakatsu,中津市,82863,city,0.2,moji--nakatsu,57.9,moji,nakatsu,33.5983,131.1883
Wako,和光市,82017,city,18.0,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.7817,139.6059
Maizuru,舞鶴市,81808,city,0.6,obama--miyazu#sanin,41.4,obama,miyazu,35.4747,135.386
